OBJECTID;Shape;CODIGO_TRATAMIENTO;NOMBRE;CLASE_SUELO;CATEGORIA_SUELO;CATDLLORESTRING;Shape_Length;Shape_Area
35;(829649.863689758, 1178190.4783156065);AL-CNS3-07;San José de Manzanillo;Rural;Suburbano;Centros poblados rurales;6,29788E+15;6,42398E+13
;;;;;;;;
36;(826463.6575151915, 1179838.3819808548);AL-MI-02;Buga Patio Bonito;Rural;Suburbano;Áreas para la localizacion de equipamientos;7,06139E+15;3,00938E+14
;;;;;;;;
37;(827029.7083582759, 1179866.6615317925);AL-MI-02;Buga Patio Bonito;Rural;Suburbano;Áreas para la localizacion de equipamientos;2,19003E+16;1,83645E+16
;;;;;;;;
38;(826684.5611129745, 1179875.3136893592);AL-MI-02;Buga Patio Bonito;Rural;Suburbano;Centros poblados rurales;2,45261E+16;7,26032E+15
;;;;;;;;
39;(825465.2715717757, 1174792.6403950476);SA_DE_5;La Florida;Expansion Urbana;Expansion para el Desarrollo;N/A;3,62584E+16;2,64167E+16
;;;;;;;;
40;(825664.9343332911, 1175355.039282103);SA_DE_4;La Florida;Expansion Urbana;Expansion para el Desarrollo;N/A;2,83747E+15;1,20339E+16
;;;;;;;;
41;(824607.235075636, 1175165.2192429497);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,03018E+16;6,25746E+16
;;;;;;;;
42;(837243.8199749353, 1175248.8837090505);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;7,86764E+15;3,30275E+16
;;;;;;;;
43;(824592.0155276043, 1175882.299874454);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,65092E+16;1,09723E+16
;;;;;;;;
44;(825790.4539594657, 1176509.3201064048);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,30997E+16;7,52468E+15
;;;;;;;;
45;(842221.832868953, 1176483.932622131);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;3,25501E+16;5,43764E+14
;;;;;;;;
46;(837476.2937888897, 1176427.6619805016);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,54953E+16;9,21696E+15
;;;;;;;;
47;(824850.3084200076, 1177016.0508845043);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;7,84297E+15;3,38823E+15
;;;;;;;;
48;(823979.173782533, 1177214.1729227386);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,92851E+16;2,0238E+16
;;;;;;;;
49;(844418.0662124637, 1177301.2748818716);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;3,15771E+16;6,29735E+15
;;;;;;;;
50;(837426.0265353268, 1177859.2275593732);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,61229E+15;1,62831E+16
;;;;;;;;
51;(828556.828274266, 1178332.6245192848);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;5,91785E+15;1,22765E+16
;;;;;;;;
52;(843355.6571704904, 1178343.982203473);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;8,89569E+15;3,55961E+15
;;;;;;;;
53;(837380.3721572375, 1178281.4595083827);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,76286E+15;8,55191E+15
;;;;;;;;
54;(837428.543240505, 1178580.309091022);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;5,4018E+15;1,27906E+15
;;;;;;;;
55;(823618.4038643984, 1178807.7064777582);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,84204E+16;2,08391E+16
;;;;;;;;
56;(837451.606321419, 1178816.8398769866);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;4,05887E+16;1,11759E+15
;;;;;;;;
57;(823719.2474608067, 1178917.5820229158);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;9,28856E+15;5,03715E+15
;;;;;;;;
58;(842440.5638383552, 1178909.818180643);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,22004E+16;2,95662E+15
;;;;;;;;
59;(841823.4588451715, 1178266.3856735807);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,06312E+16;1,3968E+16
;;;;;;;;
60;(842623.0931580883, 1178872.2848958324);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;4,66488E+16;7,43908E+15
;;;;;;;;
61;(827510.6311719071, 1179411.617029812);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,29303E+16;6,6197E+15
;;;;;;;;
62;(842272.678353627, 1179593.068448417);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;6,79413E+15;2,02296E+16
;;;;;;;;
63;(827467.4853248488, 1179732.8719609948);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;8,71851E+15;3,88038E+15
;;;;;;;;
64;(843523.5678617134, 1179782.1262286187);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;8,71755E+15;1,41267E+16
;;;;;;;;
65;(828993.5273423906, 1179921.5338051396);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;7,75708E+15;5,94547E+16
;;;;;;;;
66;(842315.3728301431, 1179893.6183806553);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;3,94662E+14;8,16574E+15
;;;;;;;;
67;(827562.6722820518, 1180012.7155548807);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,72296E+16;1,51967E+16
;;;;;;;;
68;(828689.8965367319, 1180326.2468648532);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;6,62144E+15;2,40336E+14
;;;;;;;;
69;(837486.9067103451, 1179656.3318593116);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;9,88987E+15;1,99319E+16
;;;;;;;;
