OBJECTID;Shape;CODIGO_TRATAMIENTO;NOMBRE;CLASE_SUELO;CATEGORIA_SUELO;CATDLLORESTRING;Shape_Length;Shape_Area
174;(828060.9113339434, 1186791.1640867027);SC-API-13;Pedregal Alto;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,01321E+16;4,22629E+15
;;;;;;;;
175;(828480.9264006414, 1187309.5658031763);SC-API-13;Pedregal Alto;Rural;Suburbano;Áreas para la localizacion de equipamientos;2,9573E+15;4,73552E+15
;;;;;;;;
176;(828489.4432799153, 1186970.4509616948);SC-API-13;Pedregal Alto;Rural;Suburbano;Áreas para la localizacion de equipamientos;2,96042E+15;2,14783E+16
;;;;;;;;
177;(828463.3425687813, 1187419.5548432798);SC-API-13;Pedregal Alto;Rural;Suburbano;Áreas para la localizacion de equipamientos;2,09219E+16;1,87081E+16
;;;;;;;;
178;(828950.6602489941, 1187271.6759138042);SC-API-13;Pedregal Alto;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,45183E+16;6,89601E+15
;;;;;;;;
179;(828380.6717049154, 1187411.469743672);SC-API-13;Pedregal Alto;Rural;Suburbano;Áreas para la localizacion de equipamientos;5,71792E+15;1,63192E+16
;;;;;;;;
180;(828057.88408585, 1186621.7122146746);SC-API-13;Pedregal Alto;Rural;Suburbano;Suelos suburbanos propiamente dichos;1,44133E+16;1,82243E+16
;;;;;;;;
181;(828694.0191751147, 1186902.684835685);SC-API-13;Pedregal Alto;Rural;Suburbano;Suelos suburbanos propiamente dichos;1,17669E+15;2,78514E+16
;;;;;;;;
182;(828694.2130748298, 1186951.0413313257);SC-API-13;Pedregal Alto;Rural;Suburbano;Suelos suburbanos propiamente dichos;9,70569E+15;2,27178E+16
;;;;;;;;
183;(828235.3841660605, 1186870.2345639362);SC-API-13;Pedregal Alto;Rural;Suburbano;Suelos suburbanos propiamente dichos;2,23676E+16;5,18266E+15
;;;;;;;;
184;(828343.1597243103, 1187225.983719842);SC-API-13;Pedregal Alto;Rural;Suburbano;Suelos suburbanos propiamente dichos;3,31289E+15;3,83932E+16
;;;;;;;;
185;(828744.5685127043, 1187186.5801804538);SC-API-13;Pedregal Alto;Rural;Suburbano;Suelos suburbanos propiamente dichos;2,60914E+16;3,65279E+15
;;;;;;;;
186;(828475.0905088697, 1187346.1215706521);SC-API-13;Pedregal Alto;Rural;Suburbano;Suelos suburbanos propiamente dichos;6,76034E+14;1,76313E+16
;;;;;;;;
187;(825975.4769976, 1188073.6896714708);SC-CNS2-01;El Llano;Rural;Suburbano;Áreas para la localizacion de equipamientos;3,25169E+16;3,10557E+16
;;;;;;;;
188;(826141.9273216347, 1188320.7249037237);SC-CNS2-01;El Llano;Rural;Suburbano;Áreas para la localizacion de equipamientos;2,27382E+14;2,23765E+16
;;;;;;;;
189;(826103.0934685755, 1188078.9489346787);SC-CNS2-01;El Llano;Rural;Suburbano;Centros poblados rurales;3,1738E+16;2,42264E+15
;;;;;;;;
190;(825910.1920620346, 1185698.7976228108);SC-CNS2-02;La Palma;Rural;Suburbano;Centros poblados rurales;5,06789E+15;3,31095E+15
;;;;;;;;
191;(828368.8795028895, 1187467.0849869747);SC-CNS3-02;Pedregal Alto;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,1338E+15;7,75885E+15
;;;;;;;;
192;(828065.4605076488, 1187977.296567664);SC-CNS3-02;Pedregal Alto;Rural;Suburbano;Áreas para la localizacion de equipamientos;7,58642E+15;2,98055E+16
;;;;;;;;
193;(828141.6502923579, 1188059.197067684);SC-CNS3-02;Pedregal Alto;Rural;Suburbano;Centros poblados rurales;2,39672E+16;2,91238E+15
;;;;;;;;
194;(828216.9107070009, 1187431.0137260766);SC-CNS3-02;Pedregal Alto;Rural;Suburbano;Centros poblados rurales;5,68419E+15;3,33236E+16
;;;;;;;;
195;(830375.5356872608, 1187337.7411779107);SC-CNS3-03;Pajarito;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,84174E+15;1,92032E+16
;;;;;;;;
196;(830406.6805384561, 1187348.4359755204);SC-CNS3-03;Pajarito;Rural;Suburbano;Áreas para la localizacion de equipamientos;2,35933E+16;1,7331E+16
;;;;;;;;
197;(830502.3153421269, 1187367.342962034);SC-CNS3-03;Pajarito;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,79972E+16;2,07418E+15
;;;;;;;;
198;(830362.1656010108, 1187482.561761124);SC-CNS3-03;Pajarito;Rural;Suburbano;Centros poblados rurales;5,03198E+15;3,57112E+16
;;;;;;;;
199;(828175.7729025929, 1185046.5181253816);SC-CNS3-04;La Loma;Rural;Suburbano;Áreas para la localizacion de equipamientos;9,35775E+15;5,38258E+14
;;;;;;;;
200;(828126.3340195074, 1185203.5091927552);SC-CNS3-04;La Loma;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,16204E+16;7,86373E+15
;;;;;;;;
201;(827824.0420471468, 1185274.538768899);SC-CNS3-04;La Loma;Rural;Suburbano;Centros poblados rurales;3,95453E+15;2,49435E+16
;;;;;;;;
202;(826653.1246131854, 1185896.3774774575);SC-CNS4-02;Conexion Aburrá Cauca;Rural;Suburbano;Áreas para la localizacion de equipamientos;6,48714E+15;1,61502E+16
;;;;;;;;
203;(825958.5525185544, 1186968.7399995052);SC-CNS4-02;Conexion Aburrá Cauca;Rural;Suburbano;Áreas para la localizacion de equipamientos;2,39703E+16;3,45255E+15
;;;;;;;;
204;(826148.181696867, 1187543.1639541434);SC-CNS4-02;Conexion Aburrá Cauca;Rural;Suburbano;Áreas para la localizacion de equipamientos;6,18005E+15;4,63697E+15
;;;;;;;;
205;(826167.2259250502, 1187528.9840940598);SC-CNS4-02;Conexion Aburrá Cauca;Rural;Suburbano;Suelos suburbanos propiamente dichos;1,23159E+16;5,14535E+15
;;;;;;;;
206;(826214.0413392959, 1186933.6796548883);SC-CNS4-02;Conexion Aburrá Cauca;Rural;Suburbano;Suelos suburbanos propiamente dichos;9,01204E+14;1,11417E+16
;;;;;;;;
207;(828156.2543781115, 1186655.4612516956);SC-CNS4-03;Pedregal Alto;Rural;Suburbano;Áreas para la localizacion de equipamientos;4,94523E+16;1,26569E+16
;;;;;;;;
208;(827748.2310417233, 1186555.8491095472);SC-CNS4-03;Pedregal Alto;Rural;Suburbano;Áreas para la localizacion de equipamientos;9,01505E+14;3,05912E+16
;;;;;;;;
209;(828210.8414689772, 1186681.814868472);SC-CNS4-03;Pedregal Alto;Rural;Suburbano;Suelos suburbanos propiamente dichos;1,16939E+16;6,28601E+15
;;;;;;;;
210;(828314.9544289759, 1186669.9271265087);SC-CNS4-03;Pedregal Alto;Rural;Suburbano;Suelos suburbanos propiamente dichos;6,38984E+14;4,842E+15
;;;;;;;;
211;(837186.8515657312, 1179417.6821316392);SE-CNS1-01;Mirador del Poblado;Rural;Suburbano;Áreas destinadas a la parcelacion de vivienda campestre;5,27676E+14;7,6529E+15
;;;;;;;;
212;(836458.7524093267, 1175386.8813507475);SE-CNS1-02;El Tesoro;Rural;Suburbano;Áreas destinadas a la parcelacion de vivienda campestre;5,98737E+15;5,86404E+15
;;;;;;;;
213;(836707.2326174033, 1175425.2360572955);SE-CNS1-02;El Tesoro;Rural;Suburbano;Áreas para la localizacion de equipamientos;3,31543E+15;6,49983E+15
;;;;;;;;
214;(836306.2062627183, 1175861.497245422);SE-CNS1-02;El Tesoro;Rural;Suburbano;Áreas para la localizacion de equipamientos;5,1124E+15;1,13465E+15
;;;;;;;;
215;(842842.5867961184, 1178607.238901116);SE-CNS1-04;Santa Elena, Sector Central;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,35857E+16;1,00378E+16
;;;;;;;;
216;(842857.1490614328, 1178640.6673112607);SE-CNS1-04;Santa Elena, Sector Central;Rural;Suburbano;Áreas para la localizacion de equipamientos;3,83929E+15;9,17588E+15
;;;;;;;;
217;(842783.2107605903, 1178634.3399459182);SE-CNS1-04;Santa Elena, Sector Central;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,28082E+15;7,75108E+15
;;;;;;;;
218;(842827.2291898429, 1178659.5084893184);SE-CNS1-04;Santa Elena, Sector Central;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,28451E+15;5,05678E+16
;;;;;;;;
219;(842904.1667078002, 1178787.1190286176);SE-CNS1-04;Santa Elena, Sector Central;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,49972E+16;1,02159E+16
;;;;;;;;
220;(842850.1024510278, 1178796.9275033143);SE-CNS1-04;Santa Elena, Sector Central;Rural;Suburbano;Áreas para la localizacion de equipamientos;9,03102E+15;1,78738E+15
;;;;;;;;
221;(842412.0359507442, 1178766.4559422743);SE-CNS1-04;Santa Elena, Sector Central;Rural;Suburbano;Centros poblados rurales;5,82853E+15;3,3566E+16
;;;;;;;;
222;(840699.0072768957, 1178162.9455251333);SE-CNS2-05;El Plan;Rural;Suburbano;Áreas para la localizacion de equipamientos;2,48386E+16;2,83024E+16
;;;;;;;;
223;(840714.5460879785, 1178275.5503994226);SE-CNS2-05;El Plan;Rural;Suburbano;Áreas para la localizacion de equipamientos;8,21494E+15;3,83002E+16
;;;;;;;;
224;(840375.6915080621, 1178136.8559391953);SE-CNS2-05;El Plan;Rural;Suburbano;Suelos suburbanos propiamente dichos;1,28919E+16;1,83567E+16
;;;;;;;;
225;(843543.3694785272, 1177598.039959982);SE-CNS2-07;El Cerro;Rural;Suburbano;Áreas para la localizacion de equipamientos;3,41642E+15;7,07096E+14
;;;;;;;;
226;(843583.3303948177, 1177776.3970307447);SE-CNS2-07;El Cerro;Rural;Suburbano;Áreas para la localizacion de equipamientos;4,07866E+16;7,45324E+15
;;;;;;;;
227;(843386.3025955658, 1177798.8339114075);SE-CNS2-07;El Cerro;Rural;Suburbano;Suelos suburbanos propiamente dichos;2,31807E+15;1,90754E+16
;;;;;;;;
228;(843619.5207156708, 1180399.8028362785);SE-CNS2-08;El Placer;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,45734E+16;1,04908E+16
;;;;;;;;
229;(843554.8946834175, 1180412.2976947185);SE-CNS2-08;El Placer;Rural;Suburbano;Áreas para la localizacion de equipamientos;3,61132E+16;6,82424E+15
;;;;;;;;
230;(843078.3217415047, 1181312.331320833);SE-CNS2-08;El Placer;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,10059E+15;7,03354E+15
;;;;;;;;
231;(843095.678778898, 1181472.6159797742);SE-CNS2-08;El Placer;Rural;Suburbano;Áreas para la localizacion de equipamientos;8,92148E+15;2,16235E+15
;;;;;;;;
232;(842719.7865929476, 1181610.824062357);SE-CNS2-08;El Placer;Rural;Suburbano;Áreas para la localizacion de equipamientos;2,48332E+16;2,72609E+15
;;;;;;;;
233;(842939.2974494135, 1180991.864450332);SE-CNS2-08;El Placer;Rural;Suburbano;Suelos suburbanos propiamente dichos;9,37437E+15;1,59446E+16
;;;;;;;;
234;(844778.268371452, 1181135.4334583275);SE-CNS3-10;Barro Blanco;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,64934E+16;1,66188E+16
;;;;;;;;
235;(845020.8277604213, 1181514.9944850316);SE-CNS3-10;Barro Blanco;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,16777E+16;7,30215E+15
;;;;;;;;
236;(845038.7233709841, 1181537.1088383202);SE-CNS3-10;Barro Blanco;Rural;Suburbano;Centros poblados rurales;5,30129E+15;3,00892E+16
;;;;;;;;
237;(842545.2996597647, 1183296.2974733107);SE-CNS4-04;Mazo;Rural;Suburbano;Áreas para la localizacion de equipamientos;4,43857E+15;9,92365E+14
;;;;;;;;
238;(842612.9811568442, 1183335.8535184914);SE-CNS4-04;Mazo;Rural;Suburbano;Áreas para la localizacion de equipamientos;3,74446E+14;5,90355E+16
;;;;;;;;
239;(842464.9962518292, 1183652.4987605046);SE-CNS4-04;Mazo;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,33752E+16;9,44044E+15
;;;;;;;;
240;(842679.4854865386, 1182900.6716162013);SE-CNS4-04;Mazo;Rural;Suburbano;Centros poblados rurales;1,92186E+15;9,91975E+15
;;;;;;;;
241;(842524.3601225319, 1183227.3478158498);SE-CNS4-04;Mazo;Rural;Suburbano;Centros poblados rurales;1,4145E+16;1,01984E+15
;;;;;;;;
242;(842568.7339552653, 1183488.7276636623);SE-CNS4-04;Mazo;Rural;Suburbano;Centros poblados rurales;5,18012E+15;1,68035E+15
;;;;;;;;
